"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2216","get started link","","Mon Sep 22 12:28:11 IST 2025","passed","Mon Sep 22 12:28:13 IST 2025","","example.spec.js","",""
"","3633","Logout","firefox","Mon Sep 22 11:05:41 IST 2025","passed","Mon Sep 22 11:05:45 IST 2025","","Logout.spec.js","",""
"","5812","has title","firefox","Mon Sep 22 11:05:34 IST 2025","passed","Mon Sep 22 11:05:39 IST 2025","","example.spec.js","",""
"","1955","Logout","webkit","Mon Sep 22 11:05:49 IST 2025","passed","Mon Sep 22 11:05:51 IST 2025","","Logout.spec.js","",""
"","11908","get started link","firefox","Mon Sep 22 11:05:34 IST 2025","passed","Mon Sep 22 11:05:45 IST 2025","","example.spec.js","",""
"","2509","test","","Mon Sep 22 11:08:10 IST 2025","passed","Mon Sep 22 11:08:12 IST 2025","","LoginTest.spec.js","",""
"","3708","has title","","Mon Sep 22 12:28:06 IST 2025","passed","Mon Sep 22 12:28:10 IST 2025","","example.spec.js","",""
"","5479","Logout","","Mon Sep 22 12:28:06 IST 2025","passed","Mon Sep 22 12:28:11 IST 2025","","Logout.spec.js","",""
"","1609","has title","webkit","Mon Sep 22 11:05:48 IST 2025","passed","Mon Sep 22 11:05:50 IST 2025","","example.spec.js","",""
"","3367","get started link","chromium","Mon Sep 22 11:05:28 IST 2025","passed","Mon Sep 22 11:05:31 IST 2025","","example.spec.js","",""
"","2591","Test","","Mon Sep 22 12:35:47 IST 2025","passed","Mon Sep 22 12:35:50 IST 2025","","LoginTest.spec.js","",""
"","4374","test","firefox","Mon Sep 22 11:05:35 IST 2025","passed","Mon Sep 22 11:05:39 IST 2025","","LoginTest.spec.js","",""
"","5136","Add items to cart","","Mon Sep 22 12:28:06 IST 2025","passed","Mon Sep 22 12:28:11 IST 2025","","AddtoCart.spec.js","",""
"","4625","Login Test","","Mon Sep 22 12:16:41 IST 2025","passed","Mon Sep 22 12:16:46 IST 2025","","LoginTest.spec.js","",""
"","9089","Add items to cart","firefox","Mon Sep 22 11:05:33 IST 2025","passed","Mon Sep 22 11:05:42 IST 2025","","AddtoCart.spec.js","",""
"","1961","has title","chromium","Mon Sep 22 11:05:28 IST 2025","passed","Mon Sep 22 11:05:30 IST 2025","","example.spec.js","",""
"","2433","Logout","chromium","Mon Sep 22 11:05:31 IST 2025","passed","Mon Sep 22 11:05:33 IST 2025","","Logout.spec.js","",""
"","1093","test","webkit","Mon Sep 22 11:05:49 IST 2025","passed","Mon Sep 22 11:05:50 IST 2025","","LoginTest.spec.js","",""
"","2681","Add items to cart","webkit","Mon Sep 22 11:05:45 IST 2025","passed","Mon Sep 22 11:05:48 IST 2025","","AddtoCart.spec.js","",""
"","3004","Add items to cart","chromium","Mon Sep 22 11:05:28 IST 2025","passed","Mon Sep 22 11:05:31 IST 2025","","AddtoCart.spec.js","",""
"","2529","test","chromium","Mon Sep 22 11:05:28 IST 2025","passed","Mon Sep 22 11:05:31 IST 2025","","LoginTest.spec.js","",""
"","2630","get started link","webkit","Mon Sep 22 11:05:48 IST 2025","passed","Mon Sep 22 11:05:51 IST 2025","","example.spec.js","",""
